"Timestamp","Cinsiyet","Şirketiniz hangi lokasyonda?","Tam zamanlı mı yarı zamanlı mı çalışıyorsunuz?","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Kaç yıllık deneyiminiz var?","Çalıştığınız Sektor? (Otomotiv, Bankacilik, Saglik vs)","Pozisyonunuzun Ismi?","Pozisyonunuzun Ismi?","Aylık Ortalama Net Maaşınız? (Turk Lirasi)","Yıllık ek net gelirleriniz? (prim bonus ve benzeri gelirlerin toplamı)","Yan haklarınız nelerdir?","Temmuz & Ağustos dönemi zam oranınız nedir?"
"9/25/2024 22:14:25","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Data Analyst","Data Analyst","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 22:14:42","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Eğitim","Rehber öğretmen","Rehber Öğretmen","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Ulaşım Yardımı","Henuz belli degil"
"9/25/2024 22:16:12","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","Üretim","Makine Mühendisi ","Makine Mühendisi ","51.000-60.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası","%21-%35"
"9/25/2024 22:16:25","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","7-9 Yıl","Otomotiv","Eğitim Yöneticisi","Eğitim Yöneticisi","71.000-80.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 22:18:46","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","İnşaat","İnsan kaynakları uzmanı ","İnsan Kaynakları Uzmanı ","41.000-50.000 TL","31.000-50.000 TL","Şirket Telefonu, Şirket Aracı","%11-%20"
"9/25/2024 22:25:11","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","9-12 Yıl","Diğer","Sistem İşletme Uzmanı","Sistem İşletme Uzmanı","51.000-60.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 22:25:14","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Bilgi Teknolojileri ve Yazılım","Project manager","Project Manager","71.000-80.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 22:27:42","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","12 ve ustu","Finans ve Muhasebe","Muhasebe ve Vergi Müdürü","Muhasebe Ve Vergi Müdürü","81.000-90.000 TL","71.000-90.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/25/2024 22:28:19","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Finans ve Muhasebe","Kıdemli İş Analisti","Kıdemli İş Analisti","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%5-%10"
"9/25/2024 22:28:55","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","Sağlık ve Tıp","Uzman hemşire","Uzman Hemşire","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Ulaşım Yardımı","%21-%35"
"9/25/2024 22:29:50","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","7-9 Yıl","Otomotiv","Finansal planlama ve kontrol Müdür yardımcısı","Finansal Planlama Ve Kontrol Müdür Yardımcısı","51.000-60.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%11-%20"
"9/25/2024 22:30:17","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","Gıda ve İçecek","Gıda mühendisi planlama şefi","Gıda Mühendisi Planlama Şefi","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 22:31:23","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Turizm ve Konaklama","Sağlık turizmi satış Temsilcisi ","Sağlık Turizmi Satış Temsilcisi ","21.000-30.000 TL","Ek gelirim yok","Şirket Telefonu","Almadım"
"9/25/2024 22:31:28","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","3-5 Yıl","Turizm ve Konaklama","Müze Ziyaretçi İlişkileri Görevlisi","Müze Ziyaretçi İlişkileri Görevlisi","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/25/2024 22:31:57","Kadın","Yurt dışı","Tam zamanlı","Ofiste","200 ve ustu","3-5 Yıl","Eğitim","İşe Alım Yönetmeni","İşe Alım Yönetmeni","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 22:37:44","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","0-1 Yıl","Diğer","Satış Danışmanı","Satış Danışmanı","10.000-20.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 22:38:27","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Otomotiv","Süreç ve Kaynak yönetimi ekip üyesi","Süreç Ve Kaynak Yönetimi Ekip Üyesi","51.000-60.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%11-%20"
"9/25/2024 22:38:28","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Eğitim","Cagri merkezi ","Cagri Merkezi ","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 22:39:39","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Sağlık ve Tıp","Satınalma uzman yardımcısı","Satınalma Uzman Yardımcısı","31.000-40.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 22:47:12","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","İdari işler uzmanı","İdari Işler Uzmanı","51.000-60.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 22:49:32","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","5-7 Yıl","Perakende ve E-tıcaret","Growth hacker","Growth Hacker","51.000-60.000 TL","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 22:50:24","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","0-1 Yıl","Eğitim","Sınıf Öğretmeni","Sınıf Öğretmeni","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 22:52:43","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Otomotiv","Finansal Analist","Finansal Analist","51.000-60.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%51-%70"
"9/25/2024 22:58:30","Erkek","Türkiye","Tam zamanlı","Ofiste","100-149","12 ve ustu","Diğer","İhracat Dokümantasyon Uzmanı","İhracat Dokümantasyon Uzmanı","31.000-40.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:01:58","Erkek","Türkiye","Tam zamanlı","Ofiste","100-149","9-12 Yıl","Diğer","Lojistik Operasyon Uzmanı","Lojistik Operasyon Uzmanı","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 23:02:50","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","3-5 Yıl","Diğer","İnsan Kaynakları Asistanı","İnsan Kaynakları Asistanı","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:03:03","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Üretim","Peyzaj mimarı","Peyzaj Mimarı","10.000-20.000 TL","20.000-30.000 TL","Yan hakkim yok","Almadım"
"9/25/2024 23:03:49","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","3-5 Yıl","Bilgi Teknolojileri ve Yazılım","Yazılım Proje Yöneticisi","Yazılım Proje Yöneticisi","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 23:04:54","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","3-5 Yıl","Diğer","Resepsiyonist","Resepsiyonist","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:05:57","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","3-5 Yıl","Perakende ve E-tıcaret","Müşteri iade ve satınalma sorumlusu ","Müşteri Iade Ve Satınalma Sorumlusu ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:06:42","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Diğer","Tedarik Zinciri Uzmanı- Müşteri Hizmetleri","Tedarik Zinciri Uzmanı- Müşteri Hizmetleri","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 23:06:59","Kadın","Türkiye","Tam zamanlı","Uzaktan","50-99","5-7 Yıl","Finans ve Muhasebe","Muhasebe Uzmanı","Muhasebe Uzmanı","41.000-50.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 23:09:06","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Mühendislik","Kalite kontrol ","Kalite Kontrol ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:09:54","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Gıda ve İçecek","Depo Raporlama ve Planlama personeli","Depo Raporlama Ve Planlama Personeli","10.000-20.000 TL","Ek gelirim yok","Ulaşım Yardımı","Almadım"
"9/25/2024 23:14:32","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","5-7 Yıl","Diğer","Marka Yöneticisi","Marka Yöneticisi","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 23:18:12","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Tekstil ve Hazır Giyim","E ticaret müdürü","E Ticaret Müdürü","81.000-90.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 23:18:20","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Otomotiv","Sosyal medya içerik editörü","Sosyal Medya Içerik Editörü","31.000-40.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:23:43","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Sağlık ve Tıp","Fizyoterapi Teknikeri","Fizyoterapi Teknikeri","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 23:26:30","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Diğer","Müşteri temsilcisi ","Müşteri Temsilcisi ","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 23:26:41","Kadın","Türkiye","Tam zamanlı","Hybrid","150-199","5-7 Yıl","Eğitim","Müdür yardımcısı ","Müdür Yardımcısı ","31.000-40.000 TL","Ek gelirim yok","Yan hakkim yok","%36-%50"
"9/25/2024 23:26:56","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Gıda ve İçecek","Mağaza Müdür Yardımcısı ","Mağaza Müdür Yardımcısı ","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 23:28:01","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","12 ve ustu","Telekomünikasyon","Technology Internal Controller","Technology Internal Controller","101.000-120.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%21-%35"
"9/25/2024 23:28:42","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Grafik tasarım ","Grafik Tasarım ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 23:30:14","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","9-12 Yıl","Mühendislik","Satış müdürü","Satış Müdürü","41.000-50.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 23:30:18","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","12 ve ustu","Sağlık ve Tıp","Hemşire ","Hemşire ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","%5-%10"
"9/25/2024 23:32:38","Erkek","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Veri mühendisi","Veri Mühendisi","51.000-60.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%51-%70"
"9/25/2024 23:33:16","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Gıda ve İçecek","Üretim yöneticisi ","Üretim Yöneticisi ","41.000-50.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 23:33:55","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","3-5 Yıl","Mühendislik","Şehir plancısı","Şehir Plancısı","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 23:38:38","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","ERP UZMAN YARDIMCISI","Erp Uzman Yardimcisi","31.000-40.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu","Henuz belli degil"
"9/25/2024 23:40:02","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Danışmanlık","Danışmanlık","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/25/2024 23:42:15","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","12 ve ustu","Finans ve Muhasebe","Yönetmen","Yönetmen","71.000-80.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%21-%35"
"9/25/2024 23:46:44","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","3-5 Yıl","Diğer","İnsan kaynakları uzmanı","İnsan Kaynakları Uzmanı","41.000-50.000 TL","Ek gelirim yok","Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 23:48:14","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","12 ve ustu","Tekstil ve Hazır Giyim","Modelist ","Modelist ","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 23:48:29","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","9-12 Yıl","Diğer","Ticari pazarlama müdürü","Ticari Pazarlama Müdürü","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı","%11-%20"
"9/25/2024 23:48:43","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Finans ve Muhasebe","Finans danışmanı","Finans Danışmanı","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 23:50:31","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","0-1 Yıl","Dijital Medya ve Eğlence","Programmatic executive","Programmatic Executive","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 23:50:37","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Otomotiv","Arge Mühendisi","Arge Mühendisi","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 23:53:05","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","7-9 Yıl","Bilgi Teknolojileri ve Yazılım","Satış analiz yöneticisi","Satış Analiz Yöneticisi","61.000-70.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 23:58:28","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","9-12 Yıl","Havacılık","Ekip Lideri","Ekip Lideri","120.000 TL ve üstü","51.000-70.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 23:58:47","Kadın","Türkiye","Yarı zamanlı","Uzaktan","1-49","3-5 Yıl","Sağlık ve Tıp","Klinik Psikolog","Klinik Psikolog","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/26/2024 0:01:24","Erkek","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Otomotiv","Yazılım kalite mühendisi ","Yazılım Kalite Mühendisi ","71.000-80.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","%11-%20"
"9/26/2024 0:01:30","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Eğitim","proje uzmanı","Proje Uzmanı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/26/2024 0:01:37","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Gıda ve İçecek","satış sorumlusu","Satış Sorumlusu","31.000-40.000 TL","150.000 TL ve üstü","Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%36-%50"
"9/26/2024 0:07:29","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Mühendislik","Elektrik Mühendisi","Elektrik Mühendisi","41.000-50.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Henuz belli degil"
"9/26/2024 0:07:43","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Gıda ve İçecek","Cost controller","Cost Controller","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/26/2024 0:10:23","Kadın","Türkiye","Yarı zamanlı","Ofiste","200 ve ustu","3-5 Yıl","Tekstil ve Hazır Giyim","Satış danışmanı","Satış Danışmanı","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/26/2024 0:11:00","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","9-12 Yıl","Üretim","Sistem destek uzmanı","Sistem Destek Uzmanı","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/26/2024 0:11:33","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Yönetici Asistanı","Yönetici Asistanı","31.000-40.000 TL","Ek gelirim yok","Yan hakkim yok, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/26/2024 0:11:43","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Sağlık ve Tıp","Diş hekimi","Diş Hekimi","81.000-90.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/26/2024 0:14:44","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","1-3 Yıl","Sağlık ve Tıp","Biyolog","Biyolog","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Henuz belli degil"
"9/26/2024 0:15:59","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Finans ve Muhasebe","Üst düzey yönetici as.","Üst Düzey Yönetici As.","61.000-70.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/26/2024 0:16:40","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Perakende ve E-tıcaret","İthalat Sorumlusu","İthalat Sorumlusu","31.000-40.000 TL","51.000-70.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/26/2024 0:17:54","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Dijital Medya ve Eğlence","Account Manager","Account Manager","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%21-%35"
"9/26/2024 0:18:01","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Associate Product Manager","Associate Product Manager","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/26/2024 0:19:00","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Perakende ve E-tıcaret","Training executive","Training Executive","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","%11-%20"
"9/26/2024 0:22:44","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Dijital Medya ve Eğlence","Performance Marketing Manager","Performance Marketing Manager","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","%11-%20"
"9/26/2024 0:30:03","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","iş analisti","Iş Analisti","51.000-60.000 TL","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/26/2024 0:35:19","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Diğer","Müşteri hizmetleri ","Müşteri Hizmetleri ","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/26/2024 0:36:24","Erkek","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","7-9 Yıl","Tekstil ve Hazır Giyim","Senior Business intelligence specialist ","Senior Business Intelligence Specialist ","81.000-90.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/26/2024 0:39:50","Kadın","Yurt dışı","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Sağlık ve Tıp","Eczacı ","Eczacı ","120.000 TL ve üstü","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Henuz belli degil"
"9/26/2024 0:41:44","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","1-3 Yıl","Gıda ve İçecek","Satış danışmanı ","Satış Danışmanı ","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/26/2024 0:50:41","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Diğer","Proje Uzmanı","Proje Uzmanı","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/26/2024 1:00:28","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Sağlık ve Tıp","Satınalma uzmanı ","Satınalma Uzmanı ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası","%11-%20"
